Experiment Number,As(III),Ethanol,pH,Experimental,Predicted (RSM),Predicted (ANN)
1.,100,50,6,8.55,8.31,8.55
2.,200,10,6,10.25,10.49,10.25
3.,200,30,8,9.92,10.20,9.92
4.,150,30,6,9.44,9.38,9.40
5.,150,10,4,7.45,7.50,8.63
6.,150,30,6,9.28,8.79,9.40
7.,200,30,4,10.12,9.83,10.11
8.,150,10,8,9.30,8.79,9.36
9.,150,50,8,8.65,8.60,08.02
10.,150,30,6,9.41,9.38,9.40
11.,100,30,4,7.20,6.92,7.20
12.,200,50,6,9.69,9.46,9.97
13.,150,50,4,7.39,7.91,08.02
14.,100,10,6,6.81,07.05,6.81
15.,150,30,6,9.46,9.38,9.40
16.,150,30,6,9.29,9.38,9.40
17.,100,30,8,8.25,8.53,8.25